respondent_id,survey_date,session_source,role,region,city,institution_type,institution_tier,delivery_mode,discipline,program_level,year_of_study,age,ai_literacy_1to5,digital_comfort_1to5,internet_quality_1to5,ai_use_days_per_week,time_saved_hours_per_week,primary_ai_tool,other_tools_used,top_ai_use_cases,assessment_context_most_impacted,institution_policy_awareness,institution_ai_stance,cites_ai_sources_rate_0to1,verifies_ai_outputs_rate_0to1,perceived_learning_benefit_1to5,perceived_cheating_risk_1to5,perceived_dependency_risk_1to5,trust_in_ai_outputs_1to5,fairness_equity_concern_1to5,plagiarism_or_misuse_flag,student_grade_change_pct,student_stress_change_index,student_critical_thinking_change_index,staff_reported_ai_misuse_cases_last_term,ai_training_hours_last_6_months,ai_adoption_category
R101317,2025-07-23,Class Survey,Student,India,Chennai,Public University,Tier 3,On-campus,Engineering,Doctorate,2,32,4,2,4,4,7.2,Grammarly,Gemini,Interview prep; Presentation creation,Take-home assignment,Not aware,Allowed with citation,0.64,0.63,4,5,2,2,4,0,5.6,-2.5,0.6,,4.4,Medium
R101318,2025-08-17,Class Survey,Student,UK,Edinburgh,Public University,Tier 2,Online,Engineering,High School,10,15,3,2,4,3,5.0,Notion AI,Grammarly; Khanmigo,Research summarization; Assignment writing; Exam revision,In-class test,Heard of it,Allowed with citation,0.24,0.28,5,4,4,4,3,0,2.7,-2.5,0.5,,1.0,Medium
R101319,2025-11-16,Panel Discussion Survey,Faculty,Canada,Ottawa,Public University,Tier 2,On-campus,Sciences,Staff,,31,4,2,4,3,3.2,Grammarly,DALL·E; ChatGPT,Quiz practice; Research summarization; Coding help,Online quiz,Heard of it,Unclear,0.37,0.63,4,3,2,4,3,0,,,,1.0,7.0,Medium
R101320,2025-07-17,Workshop Feedback,Student,UK,Manchester,EdTech Bootcamp,Tier 2,On-campus,Sciences,Undergraduate,3,19,2,2,4,2,0.0,QuillBot,,Interview prep,Online quiz,Not aware,Allowed (limited),0.54,0.48,4,4,2,3,3,0,5.6,-0.1,-2.7,,0.4,Medium
R101321,2025-11-21,Workshop Feedback,Student,USA,Seattle,EdTech Bootcamp,Tier 2,On-campus,Computer Science,Undergraduate,4,22,2,2,4,3,4.0,Grammarly,Grammarly; Claude; DALL·E,Assignment writing; Coding help; Exam revision,In-class test,Not aware,Allowed with citation,0.18,0.51,2,4,3,3,5,0,0.4,-3.2,2.4,,2.1,Medium
R101322,2025-02-02,Class Survey,Student,UAE,Abu Dhabi,K-12 School,Tier 2,Hybrid,Business,Undergraduate,1,20,4,2,4,6,7.9,Gemini,,Exam revision; Quiz practice; Coding help,Take-home assignment,Read it,Unclear,0.65,0.43,3,4,2,5,3,1,-4.5,-3.2,-1.7,,0.0,High
R101323,2025-01-28,Workshop Feedback,Faculty,India,Chennai,Public University,Tier 1,Online,Engineering,Staff,,50,3,2,4,3,3.7,Perplexity,QuillBot; ChatGPT; DALL·E,Note-making,In-class test,Read it,Allowed with citation,0.04,0.57,5,3,1,2,3,0,,,,4.0,4.8,Medium
R101324,2025-08-07,Class Survey,Student,UK,Edinburgh,K-12 School,Tier 2,Hybrid,Law,Undergraduate,4,23,2,2,4,2,0.0,Copilot,,Quiz practice,Online quiz,Heard of it,Not allowed,0.38,0.65,4,4,2,2,3,1,-6.8,-1.1,-0.3,,4.9,Medium
R101325,2025-09-09,Class Survey,Faculty,UAE,Sharjah,K-12 School,Tier 2,Online,Sciences,Staff,,43,4,2,4,3,5.0,ChatGPT,Gemini; Notion AI; ChatGPT,Interview prep; Presentation creation; Career guidance,Online quiz,Read it,Unclear,0.34,0.48,3,4,2,4,4,0,,,,5.0,0.4,Medium
R101326,2025-06-19,Panel Discussion Survey,Student,India,Mumbai,Private University,Tier 2,Hybrid,Arts/Humanities,Undergraduate,4,17,3,2,4,3,1.8,DALL·E,,Interview prep; Presentation creation; Research summarization,Project,Trained on it,Not allowed,0.12,0.42,3,3,3,2,1,0,4.4,-2.8,-2.8,,0.0,Medium
R101327,2025-02-06,Class Survey,Student,India,Mumbai,Private University,Tier 1,On-campus,Computer Science,Undergraduate,1,17,4,2,4,3,5.0,ChatGPT,Stable Diffusion; Gemini,Assignment writing; Language improvement; Presentation creation,Take-home assignment,Not aware,Unclear,0.22,0.66,4,1,3,2,3,0,3.2,-2.7,1.8,,0.3,Medium
R101328,2025-11-03,Workshop Feedback,Student,Singapore,Singapore,Community College,Tier 2,On-campus,Business,Undergraduate,3,20,3,2,4,5,9.4,Stable Diffusion,Perplexity,Research summarization; Exam revision,Online quiz,Not aware,Not allowed,0.38,0.0,2,4,2,2,1,0,2.2,-1.7,-4.0,,1.6,Medium
R101329,2025-04-20,Class Survey,Student,USA,Chicago,Public University,Tier 2,On-campus,Sciences,Postgraduate,1,23,2,2,4,4,4.3,ChatGPT,Gemini; Copilot,Research summarization; Interview prep,In-class test,Read it,Allowed (limited),0.11,0.19,3,4,4,3,5,0,4.5,1.4,-1.1,,1.3,Medium
R101330,2025-06-09,Panel Discussion Survey,Student,UAE,Dubai,Private University,Tier 2,Hybrid,Engineering,Postgraduate,1,25,4,2,4,5,6.9,QuillBot,,Interview prep; Language improvement,Project,Heard of it,Unclear,0.49,0.71,4,4,3,1,1,0,8.2,-1.2,3.0,,0.6,High
R101331,2025-05-16,Class Survey,Student,USA,Seattle,K-12 School,Tier 2,On-campus,Computer Science,High School,12,16,4,2,4,5,6.1,Gemini,QuillBot; Perplexity,Presentation creation; Quiz practice,Project,Trained on it,Not allowed,0.34,0.56,4,3,3,3,2,0,1.3,-4.4,1.1,,4.1,High
R101332,2025-03-13,Class Survey,Student,India,Kolkata,Public University,Tier 1,On-campus,Business,Undergraduate,1,18,1,2,4,3,4.7,DALL·E,ChatGPT; Stable Diffusion; Perplexity,Exam revision,In-class test,Heard of it,Unclear,0.0,0.25,3,4,1,1,1,1,-4.4,-8.2,4.7,,0.5,Medium
R101333,2025-11-18,Class Survey,Admin,UAE,Abu Dhabi,Private University,Tier 1,Online,Law,Staff,,57,4,2,4,4,5.0,Khanmigo,Claude; ChatGPT; Gemini,Assignment writing,Project,Trained on it,Not allowed,0.64,0.36,5,3,3,4,5,0,,,,2.0,3.1,Medium
R101334,2025-02-20,Class Survey,Admin,India,Kolkata,Private University,Tier 2,Hybrid,Medicine,Staff,,53,1,2,4,2,1.4,ChatGPT,,Interview prep; Assignment writing,Take-home assignment,Read it,Not allowed,0.26,0.29,4,4,5,3,3,0,,,,8.0,11.8,Low
R101335,2025-05-03,Panel Discussion Survey,Faculty,India,Delhi,K-12 School,Tier 1,On-campus,Computer Science,Staff,,38,4,2,4,3,1.8,ChatGPT,DALL·E,Career guidance; Note-making,Viva/Oral,Not aware,Allowed with citation,0.1,0.43,3,3,4,3,5,0,,,,2.0,7.2,Medium
R101336,2025-10-02,Panel Discussion Survey,Student,UK,Edinburgh,EdTech Bootcamp,Tier 2,Hybrid,Business,Postgraduate,1,25,2,2,4,2,5.6,Notion AI,ChatGPT,Research summarization,Project,Read it,Unclear,0.4,0.06,2,4,3,4,5,0,7.2,-1.3,-1.8,,1.4,Medium
R101337,2025-07-29,Class Survey,Student,India,Chennai,K-12 School,Tier 3,Hybrid,Sciences,Undergraduate,2,23,3,2,4,3,4.5,ChatGPT,Claude; Copilot; Midjourney,Exam revision,Take-home assignment,Heard of it,Allowed (limited),0.37,0.68,4,3,2,4,4,0,0.7,-2.3,3.9,,1.5,Medium
R101338,2024-12-30,Workshop Feedback,Faculty,Canada,Vancouver,Community College,Tier 1,Online,Engineering,Staff,,49,4,2,4,5,7.7,ChatGPT,ChatGPT; Notion AI; Gemini,Interview prep; Assignment writing; Career guidance,Online quiz,Not aware,Not allowed,0.34,0.4,3,4,4,3,2,0,,,,1.0,1.3,High
R101339,2025-08-10,Workshop Feedback,Student,India,Bengaluru,Community College,Tier 2,Hybrid,Engineering,Postgraduate,1,24,3,2,4,2,3.2,Stable Diffusion,Gemini; Khanmigo; Copilot,Note-making; Coding help,Online quiz,Not aware,Not allowed,0.28,0.4,3,4,3,2,3,0,11.4,-2.0,-0.7,,1.8,Medium
R101340,2025-10-06,Panel Discussion Survey,Student,UK,Edinburgh,Community College,Tier 2,On-campus,Computer Science,High School,10,18,4,2,4,7,10.4,Grammarly,,Presentation creation; Assignment writing; Quiz practice,Viva/Oral,Heard of it,Unclear,0.66,0.21,4,3,3,4,4,0,3.8,-2.4,-3.6,,1.6,High
R101341,2025-05-02,Panel Discussion Survey,Faculty,USA,Boston,Private University,Tier 2,On-campus,Business,Staff,,27,3,2,4,4,3.0,ChatGPT,QuillBot; Gemini; ChatGPT,Note-making; Career guidance; Coding help,In-class test,Heard of it,Allowed with citation,0.41,0.35,4,4,2,4,4,0,,,,1.0,3.3,Medium
R101342,2025-10-07,Workshop Feedback,Student,USA,New York,Public University,Tier 1,On-campus,Law,Undergraduate,3,22,3,2,4,6,7.4,Copilot,Grammarly; Copilot; DALL·E,Research summarization; Assignment writing; Language improvement,Online quiz,Not aware,Allowed (limited),0.6,0.63,4,5,5,3,3,0,-1.2,0.3,0.1,,0.4,High
R101343,2025-09-02,Panel Discussion Survey,Student,USA,Boston,K-12 School,Tier 1,Hybrid,Law,Undergraduate,4,20,4,2,4,5,7.0,ChatGPT,QuillBot; Perplexity,Presentation creation; Coding help; Note-making,Online quiz,Not aware,Allowed with citation,0.51,0.7,4,4,3,2,3,0,10.5,-5.2,2.6,,0.8,High
R101344,2025-06-24,Workshop Feedback,Admin,Singapore,Singapore,K-12 School,Tier 3,Hybrid,Engineering,Staff,,55,3,2,4,2,5.0,Khanmigo,Claude; Copilot; Gemini,Coding help; Interview prep,Take-home assignment,Trained on it,Allowed (limited),0.44,0.45,1,2,3,4,4,0,,,,0.0,10.3,Medium
R101345,2025-07-02,Panel Discussion Survey,Student,UAE,Sharjah,Private University,Tier 1,Hybrid,Sciences,Undergraduate,1,21,1,2,4,2,7.7,ChatGPT,,Coding help; Assignment writing,Project,Heard of it,Not allowed,0.07,0.18,4,3,3,3,2,0,0.6,-3.6,-3.9,,1.4,Low
R101346,2025-08-09,Panel Discussion Survey,Student,UK,London,K-12 School,Tier 2,Hybrid,Engineering,Undergraduate,4,21,3,2,4,5,6.8,Claude,Copilot; ChatGPT; QuillBot,Assignment writing,Project,Not aware,Allowed (limited),0.38,0.45,3,3,3,3,3,0,4.5,-1.9,5.3,,0.0,Medium
R101347,2025-04-19,Panel Discussion Survey,Student,UK,Birmingham,Community College,Tier 3,On-campus,Sciences,High School,12,16,3,2,4,3,2.3,Gemini,Notion AI; ChatGPT; Perplexity,Coding help,Online quiz,Not aware,Unclear,0.53,0.54,4,4,3,1,4,0,1.2,3.4,-0.5,,0.0,Medium
R101348,2025-02-24,Panel Discussion Survey,Student,India,Hyderabad,Private University,Tier 2,On-campus,Computer Science,Undergraduate,1,18,3,2,4,1,0.0,Stable Diffusion,,Interview prep,Viva/Oral,Read it,Unclear,0.36,0.18,3,3,4,4,4,0,-0.3,-4.4,2.9,,0.1,Medium
R101349,2025-06-06,Panel Discussion Survey,Student,India,Bengaluru,Public University,Tier 2,On-campus,Engineering,Undergraduate,2,19,2,2,4,1,0.0,ChatGPT,Copilot; Gemini,Interview prep; Assignment writing,Viva/Oral,Read it,Unclear,0.63,0.42,5,2,3,3,3,0,0.9,-1.6,-0.6,,0.0,Low
R101350,2024-12-27,Workshop Feedback,Faculty,India,Pune,Public University,Tier 1,On-campus,Sciences,Staff,,54,4,2,4,5,4.5,Grammarly,Grammarly; ChatGPT,Research summarization; Assignment writing; Note-making,Project,Not aware,Allowed with citation,0.6,0.67,5,4,2,3,3,0,,,,6.0,7.6,High
R101351,2025-03-06,Panel Discussion Survey,Faculty,India,Hyderabad,Private University,Tier 2,Hybrid,Sciences,Staff,,31,2,2,4,4,0.0,Copilot,Gemini; Grammarly,Interview prep; Note-making; Assignment writing,Take-home assignment,Trained on it,Allowed with citation,0.11,0.36,3,4,3,2,3,0,,,,1.0,9.1,Medium
R101352,2025-05-22,Class Survey,Student,India,Pune,Private University,Tier 2,Online,Education,Postgraduate,1,23,3,2,4,2,1.0,Khanmigo,Stable Diffusion; ChatGPT,Career guidance; Presentation creation,Project,Not aware,Allowed with citation,0.26,0.45,2,3,3,3,2,1,-2.5,-3.3,1.3,,2.0,Medium
R101353,2025-01-03,Workshop Feedback,Student,India,Delhi,Public University,Tier 3,On-campus,Arts/Humanities,Undergraduate,1,19,3,2,4,3,5.0,ChatGPT,,Language improvement; Assignment writing; Coding help,In-class test,Not aware,Allowed (limited),0.47,0.32,2,3,3,4,3,1,-5.9,-2.6,1.3,,0.2,Medium
R101354,2025-10-29,Class Survey,Faculty,USA,New York,Public University,Tier 1,Hybrid,Law,Staff,,39,3,2,4,3,3.8,Midjourney,Stable Diffusion,Coding help; Research summarization,Online quiz,Heard of it,Allowed with citation,0.08,0.5,4,2,3,3,4,0,,,,1.0,6.5,Medium
R101355,2025-05-04,Panel Discussion Survey,Student,India,Hyderabad,Public University,Tier 1,On-campus,Education,Undergraduate,1,17,3,2,4,6,6.7,Stable Diffusion,Claude; Notion AI,Note-making,Viva/Oral,Trained on it,Unclear,0.38,0.74,3,3,3,4,5,0,8.6,-2.1,2.6,,2.1,High
R101356,2025-05-09,Panel Discussion Survey,Student,Canada,Vancouver,K-12 School,Tier 3,Hybrid,Business,Postgraduate,2,29,4,2,4,7,5.2,ChatGPT,,Career guidance; Quiz practice,Take-home assignment,Read it,Unclear,0.25,0.78,3,3,4,2,2,1,-0.8,-3.6,4.1,,1.8,High
R101357,2025-11-21,Panel Discussion Survey,Student,India,Mumbai,K-12 School,Tier 1,On-campus,Engineering,Undergraduate,2,20,3,2,4,4,6.9,Gemini,,Language improvement; Presentation creation; Research summarization,Take-home assignment,Heard of it,Allowed (limited),0.36,0.35,3,4,5,3,4,0,2.5,3.1,-1.4,,0.2,Medium
R101358,2025-10-08,Panel Discussion Survey,Student,UK,Manchester,Private University,Tier 3,Hybrid,Arts/Humanities,Undergraduate,1,21,2,2,4,4,5.8,Stable Diffusion,Stable Diffusion; Copilot; Khanmigo,Quiz practice; Interview prep,Project,Heard of it,Unclear,0.11,0.3,4,3,1,4,3,0,3.5,-4.1,0.1,,0.5,Medium
R101359,2025-05-09,Class Survey,Student,India,Pune,Public University,Tier 2,On-campus,Arts/Humanities,Undergraduate,3,21,3,2,4,5,6.0,Copilot,Khanmigo; Claude,Assignment writing,Take-home assignment,Not aware,Unclear,0.54,0.7,4,3,3,3,1,0,10.5,-1.3,-1.1,,1.8,Medium
R101360,2025-03-28,Class Survey,Student,UAE,Dubai,Public University,Tier 2,On-campus,Sciences,Postgraduate,2,26,3,2,4,2,0.0,Midjourney,ChatGPT,Assignment writing,Take-home assignment,Not aware,Allowed with citation,0.26,0.56,3,3,3,5,3,0,7.1,-6.1,-3.4,,1.2,Medium
R101361,2025-11-10,Class Survey,Student,India,Kolkata,Public University,Tier 3,Hybrid,Engineering,Undergraduate,4,23,4,2,4,6,6.2,Midjourney,Stable Diffusion; Midjourney; Perplexity,Coding help,In-class test,Not aware,Allowed with citation,0.54,0.63,3,3,2,4,3,0,7.3,-3.2,-2.1,,2.3,High
R101362,2025-05-14,Class Survey,Student,UK,Manchester,Private University,Tier 2,On-campus,Computer Science,Undergraduate,3,18,2,2,4,1,2.1,Gemini,DALL·E; ChatGPT; Copilot,Assignment writing; Presentation creation,Project,Read it,Allowed with citation,0.01,0.04,3,2,1,2,3,0,1.6,-1.7,-2.7,,2.7,Low
R101363,2025-01-20,Panel Discussion Survey,Student,India,Mumbai,Public University,Tier 1,Hybrid,Business,Doctorate,1,27,3,2,4,4,4.7,ChatGPT,Copilot,Assignment writing; Exam revision,Online quiz,Heard of it,Allowed (limited),0.3,0.61,4,4,3,2,4,0,2.6,-1.5,1.0,,4.3,Medium
R101364,2025-05-31,Workshop Feedback,Student,Singapore,Singapore,Private University,Tier 3,On-campus,Sciences,High School,12,16,2,2,4,4,5.2,Claude,ChatGPT,Coding help,In-class test,Heard of it,Unclear,0.05,0.32,4,3,3,4,5,0,3.8,-7.8,1.4,,2.3,Medium
R101365,2025-06-11,Panel Discussion Survey,Student,India,Delhi,EdTech Bootcamp,Tier 3,Online,Computer Science,Postgraduate,1,21,4,2,4,5,7.4,Notion AI,Gemini,Exam revision; Research summarization,Viva/Oral,Trained on it,Allowed (limited),0.68,0.57,2,1,3,3,4,0,-2.3,-4.1,-2.9,,2.6,High
R101366,2025-07-31,Panel Discussion Survey,Student,UAE,Sharjah,Private University,Tier 3,On-campus,Sciences,Undergraduate,4,17,3,2,4,5,6.3,Copilot,Khanmigo; Midjourney; Perplexity,Quiz practice,Project,Not aware,Allowed with citation,0.21,0.32,4,2,4,4,3,0,3.4,-0.0,-0.3,,0.6,Medium
R101367,2025-04-08,Panel Discussion Survey,Student,India,Delhi,K-12 School,Tier 2,Hybrid,Computer Science,Undergraduate,1,19,3,2,4,5,7.3,QuillBot,Grammarly; Perplexity; Midjourney,Interview prep; Assignment writing,Online quiz,Not aware,Allowed (limited),0.33,0.75,3,4,3,3,3,0,1.5,-5.9,-0.2,,0.1,Medium
R101368,2025-10-14,Panel Discussion Survey,Student,USA,Chicago,Public University,Tier 2,Online,Engineering,Undergraduate,3,23,3,2,4,2,0.7,Perplexity,Stable Diffusion; DALL·E; Copilot,Coding help; Assignment writing,In-class test,Heard of it,Allowed with citation,0.41,0.27,3,3,3,3,5,0,-0.2,-0.2,-1.0,,0.6,Medium
R101369,2025-05-23,Panel Discussion Survey,Student,UAE,Sharjah,Public University,Tier 2,Hybrid,Law,Undergraduate,3,22,3,2,4,1,0.0,Khanmigo,,Note-making; Research summarization; Interview prep,Project,Trained on it,Unclear,0.27,0.8,3,3,2,3,2,0,7.0,-2.2,2.7,,2.8,Medium
R101370,2025-07-01,Panel Discussion Survey,Student,India,Chennai,EdTech Bootcamp,Tier 1,On-campus,Engineering,Postgraduate,2,29,3,2,4,5,7.0,ChatGPT,,Interview prep; Quiz practice; Note-making,Take-home assignment,Not aware,Unclear,0.13,0.46,5,3,2,3,4,0,1.4,-2.0,1.2,,2.9,Medium
R101371,2025-09-03,Panel Discussion Survey,Faculty,India,Mumbai,Private University,Tier 2,Hybrid,Law,Staff,,60,4,2,4,6,8.6,Copilot,Midjourney; ChatGPT; QuillBot,Language improvement; Quiz practice; Assignment writing,Viva/Oral,Not aware,Unclear,0.45,0.5,4,4,4,4,2,0,,,,1.0,6.2,High
R101372,2025-10-08,Workshop Feedback,Student,India,Delhi,Community College,Tier 2,On-campus,Computer Science,Undergraduate,3,20,5,2,4,6,8.2,ChatGPT,Gemini,Research summarization,In-class test,Not aware,Unclear,0.14,0.45,4,5,4,3,2,0,2.9,-4.8,2.3,,0.8,High
R101373,2025-04-14,Class Survey,Faculty,India,Hyderabad,EdTech Bootcamp,Tier 2,Hybrid,Medicine,Staff,,55,4,2,4,5,6.3,ChatGPT,Copilot; Perplexity; ChatGPT,Quiz practice; Career guidance,Project,Trained on it,Allowed with citation,0.71,0.44,3,4,4,4,4,0,,,,1.0,8.5,High
R101374,2024-12-29,Panel Discussion Survey,Admin,Singapore,Singapore,Private University,Tier 2,On-campus,Arts/Humanities,Staff,,52,3,2,4,4,4.2,Claude,Khanmigo; ChatGPT; Grammarly,Note-making; Presentation creation,Viva/Oral,Read it,Allowed with citation,0.33,0.41,2,4,2,2,2,1,,,,4.0,8.4,Medium
R101375,2025-02-10,Panel Discussion Survey,Student,India,Chennai,Private University,Tier 2,Hybrid,Sciences,Undergraduate,3,21,4,2,4,6,7.6,DALL·E,,Assignment writing,Take-home assignment,Heard of it,Unclear,0.15,0.55,3,3,4,4,3,0,2.9,-3.4,-1.5,,1.5,High
R101376,2025-07-12,Workshop Feedback,Student,India,Delhi,Private University,Tier 2,Online,Computer Science,Undergraduate,2,17,3,2,4,4,5.6,Claude,Stable Diffusion,Assignment writing,Take-home assignment,Read it,Unclear,0.3,0.55,4,2,4,3,4,0,-0.3,0.1,0.2,,2.0,Medium
R101377,2025-01-05,Class Survey,Faculty,Singapore,Singapore,Public University,Tier 2,On-campus,Business,Staff,,42,3,2,4,4,5.7,Gemini,Stable Diffusion; DALL·E,Research summarization; Coding help,Take-home assignment,Read it,Unclear,0.45,0.41,3,4,3,3,2,0,,,,2.0,4.3,Medium
R101378,2025-06-07,Panel Discussion Survey,Student,India,Mumbai,Public University,Tier 3,On-campus,Arts/Humanities,Postgraduate,1,25,2,2,4,2,7.6,Grammarly,,Interview prep; Exam revision; Assignment writing,In-class test,Not aware,Unclear,0.13,0.47,3,4,4,1,5,0,2.6,2.2,0.4,,2.6,Medium
R101379,2025-04-10,Class Survey,Student,India,Chennai,Public University,Tier 2,On-campus,Sciences,Undergraduate,2,17,2,2,4,3,1.8,Grammarly,ChatGPT; Gemini,Assignment writing; Coding help; Language improvement,Online quiz,Not aware,Unclear,0.0,0.58,4,4,3,1,1,0,6.7,-0.9,-3.5,,0.0,Medium
R101380,2025-04-12,Workshop Feedback,Student,UK,London,K-12 School,Tier 1,Hybrid,Sciences,Postgraduate,1,24,3,2,4,4,11.3,Copilot,ChatGPT; Claude; Notion AI,Exam revision,Take-home assignment,Not aware,Unclear,0.33,0.64,4,5,3,3,4,1,-3.5,-4.6,0.6,,0.2,Medium
R101381,2025-09-09,Panel Discussion Survey,Student,Australia,Melbourne,Community College,Tier 1,On-campus,Sciences,Undergraduate,2,22,3,2,4,3,1.1,Gemini,Notion AI,Career guidance; Quiz practice; Exam revision,Take-home assignment,Read it,Unclear,0.49,0.56,1,2,1,3,2,0,7.2,-3.9,-0.3,,2.5,Medium
R101382,2025-08-08,Workshop Feedback,Student,UK,London,Private University,Tier 2,Hybrid,Medicine,Postgraduate,1,25,1,2,4,1,2.0,Gemini,Claude,Presentation creation; Interview prep,In-class test,Read it,Not allowed,0.25,0.38,3,3,3,3,3,0,-1.1,0.0,1.2,,2.8,Low
R101383,2025-06-11,Panel Discussion Survey,Admin,UAE,Sharjah,Public University,Tier 2,Hybrid,Arts/Humanities,Staff,,36,3,2,4,6,4.8,ChatGPT,ChatGPT; Perplexity; Claude,Language improvement,Take-home assignment,Heard of it,Allowed with citation,0.42,0.26,4,4,4,3,4,0,,,,0.0,7.2,High
R101384,2024-12-27,Panel Discussion Survey,Faculty,Singapore,Singapore,K-12 School,Tier 3,Online,Sciences,Staff,,48,3,2,4,2,3.0,Claude,Copilot; Claude,Assignment writing,Project,Heard of it,Allowed with citation,0.52,0.49,4,4,4,2,3,0,,,,3.0,7.3,Medium
R101385,2025-12-17,Panel Discussion Survey,Student,India,Hyderabad,EdTech Bootcamp,Tier 1,On-campus,Sciences,Undergraduate,3,23,3,2,4,4,6.8,ChatGPT,QuillBot; Copilot; Perplexity,Assignment writing; Interview prep; Coding help,In-class test,Not aware,Unclear,0.63,0.25,4,4,2,2,3,1,0.5,-5.4,5.7,,2.9,Medium
R101386,2025-12-10,Panel Discussion Survey,Student,Singapore,Singapore,Private University,Tier 1,On-campus,Law,Undergraduate,3,22,3,2,4,4,4.9,Grammarly,,Quiz practice; Interview prep; Assignment writing,Take-home assignment,Heard of it,Allowed (limited),0.0,0.63,3,3,3,1,2,0,1.8,-4.0,3.3,,2.2,Medium
R101387,2025-03-15,Panel Discussion Survey,Student,Canada,Ottawa,Private University,Tier 2,On-campus,Law,High School,11,17,3,2,4,4,6.7,DALL·E,,Interview prep; Assignment writing,Take-home assignment,Heard of it,Allowed (limited),0.11,0.5,4,5,2,3,5,1,1.3,-4.6,1.9,,1.7,Medium
R101388,2025-08-18,Class Survey,Faculty,Australia,Sydney,K-12 School,Tier 2,Hybrid,Sciences,Staff,,36,2,2,4,3,2.8,Gemini,ChatGPT,Coding help; Assignment writing; Note-making,In-class test,Trained on it,Unclear,0.36,0.57,3,4,1,5,2,0,,,,3.0,8.4,Medium
R101389,2025-11-19,Panel Discussion Survey,Student,India,Bengaluru,K-12 School,Tier 3,On-campus,Computer Science,Undergraduate,2,20,2,2,4,3,0.0,Gemini,QuillBot,Interview prep; Coding help; Quiz practice,Take-home assignment,Heard of it,Unclear,0.33,0.58,4,5,4,3,2,0,-0.7,2.7,0.8,,0.0,Medium
R101390,2025-07-28,Panel Discussion Survey,Faculty,India,Mumbai,EdTech Bootcamp,Tier 3,On-campus,Business,Staff,,50,3,2,4,2,3.7,DALL·E,,Presentation creation; Assignment writing; Coding help,Take-home assignment,Not aware,Allowed (limited),0.07,0.53,3,1,4,2,3,0,,,,0.0,3.9,Medium
R101391,2025-10-18,Panel Discussion Survey,Faculty,USA,Boston,Private University,Tier 2,On-campus,Sciences,Staff,,61,4,2,4,5,6.1,Notion AI,,Quiz practice; Interview prep,Take-home assignment,Read it,Allowed with citation,0.28,0.41,5,4,4,3,3,0,,,,4.0,10.6,High
R101392,2025-03-20,Panel Discussion Survey,Student,UAE,Sharjah,Public University,Tier 3,Hybrid,Medicine,Undergraduate,4,17,3,2,4,3,2.6,QuillBot,Notion AI; Gemini,Assignment writing; Coding help,In-class test,Read it,Allowed (limited),0.66,0.05,5,3,4,3,4,0,10.2,3.5,2.6,,3.2,Medium
R101393,2025-09-30,Workshop Feedback,Student,UAE,Dubai,Private University,Tier 1,Online,Computer Science,Undergraduate,4,22,3,2,4,6,6.4,Midjourney,,Interview prep; Language improvement,Online quiz,Heard of it,Unclear,0.29,0.55,3,1,5,2,3,0,5.9,-4.7,-0.3,,0.1,High
R101394,2025-05-19,Class Survey,Faculty,Australia,Perth,Private University,Tier 2,On-campus,Medicine,Staff,,46,3,2,4,4,5.6,Grammarly,Grammarly; DALL·E,Language improvement,Online quiz,Trained on it,Allowed with citation,0.44,0.42,2,4,3,3,3,0,,,,3.0,9.4,Medium
R101395,2025-09-02,Panel Discussion Survey,Student,USA,Boston,K-12 School,Tier 3,On-campus,Arts/Humanities,Undergraduate,4,19,4,2,4,4,3.2,QuillBot,Gemini; Perplexity; Copilot,Language improvement; Assignment writing; Presentation creation,Viva/Oral,Heard of it,Allowed with citation,0.74,0.67,3,2,4,3,3,0,2.0,-1.2,0.5,,0.0,Medium
R101396,2025-03-19,Panel Discussion Survey,Student,India,Pune,Public University,Tier 2,On-campus,Law,Postgraduate,1,21,3,2,4,4,5.6,Claude,ChatGPT; Midjourney; DALL·E,Interview prep,Project,Heard of it,Unclear,0.37,0.58,4,3,2,3,4,0,-3.0,-4.5,0.6,,0.0,Medium
R101397,2024-12-29,Class Survey,Faculty,India,Delhi,Community College,Tier 3,On-campus,Law,Staff,,29,3,2,4,2,4.8,DALL·E,ChatGPT,Coding help; Exam revision; Assignment writing,Take-home assignment,Read it,Not allowed,0.49,0.56,4,4,1,5,3,0,,,,4.0,2.1,Medium
R101398,2025-01-18,Class Survey,Student,India,Kolkata,EdTech Bootcamp,Tier 1,Online,Computer Science,Undergraduate,4,17,2,2,4,3,7.7,Grammarly,ChatGPT,Assignment writing; Interview prep; Research summarization,In-class test,Read it,Allowed with citation,0.38,0.41,4,3,3,3,1,1,0.6,-5.1,-1.8,,0.0,Medium
R101399,2025-09-29,Class Survey,Student,India,Chennai,EdTech Bootcamp,Tier 1,Hybrid,Engineering,High School,11,16,3,2,4,4,7.6,ChatGPT,,Assignment writing,Project,Heard of it,Allowed (limited),0.29,0.15,4,4,3,5,2,1,-5.3,-3.2,-2.8,,0.0,Medium
R101400,2025-12-09,Class Survey,Student,India,Mumbai,Community College,Tier 2,Hybrid,Computer Science,Postgraduate,2,23,3,2,4,3,3.9,Notion AI,,Assignment writing,Online quiz,Heard of it,Allowed with citation,0.28,0.68,3,3,3,2,4,0,7.5,0.2,7.1,,1.6,Medium
